GRID_81.18,81.18,81.99
GRID_79.83,79.83,80.63
GRID_78.47,78.47,79.26
GRID_77.12,77.12,77.89
GRID_90.65,90.65,91.56
GRID_89.3,89.3,90.19
GRID_87.95,87.95,88.82
GRID_86.59,86.59,87.46
GRID_85.24,85.24,86.09
GRID_92.43,92.43,93.35
GRID_91.08,91.08,91.99
GRID_92.82,92.82,93.75
GRID_94.15,94.15,95.09
GRID_89.74,89.74,90.64
GRID_88.41,88.41,89.29
GRID_91.51,91.51,92.42
GRID_90.17,90.17,91.07
GRID_91.89,91.89,92.81
GRID_95.49,95.49,96.44
GRID_97.78,97.78,98.76
GRID_88.84,88.84,89.73
GRID_90.59,90.59,91.5
GRID_89.27,89.27,90.16
GRID_89.68,89.68,90.58
GRID_93.21,93.21,94.14
GRID_90.97,90.97,91.88
GRID_94.54,94.54,95.48
GRID_96.8,96.8,97.77
GRID_98.13,98.13,99.11
GRID_99.77,99.77,100.77
GRID_98.48,98.48,99.46
GRID_102.4,102.4,103.42
GRID_101.09,101.09,102.1
GRID_103.71,103.71,104.75
GRID_103.98,103.98,105.02
GRID_105.28,105.28,106.33
GRID_107.65,107.65,108.73
GRID_102.67,102.67,103.7
GRID_102.94,102.94,103.97
GRID_104.23,104.23,105.27
GRID_101.91,101.91,102.93
GRID_103.19,103.19,104.22
GRID_110.07,110.07,111.17
GRID_106.57,106.57,107.64
GRID_111.38,111.38,112.5
GRID_112.72,112.72,113.85
GRID_112.91,112.91,114.04
GRID_116.53,116.53,117.7
GRID_119.22,119.22,120.41
GRID_117.87,117.87,119.05
GRID_119.34,119.34,120.54
GRID_123.24,123.24,124.47
GRID_121.89,121.89,123.11
GRID_127.24,127.24,128.52
GRID_125.91,125.91,127.17
GRID_124.57,124.57,125.82
GRID_133.95,133.95,135.29
GRID_133.95,133.95,135.29
GRID_128.59,128.59,129.88
GRID_131.26,131.26,132.58
GRID_128.63,128.63,129.92
GRID_136.65,136.65,138.02
GRID_122.01,122.01,123.23
GRID_124.65,124.65,125.9
GRID_123.32,123.32,124.56
GRID_125.97,125.97,127.23
GRID_127.3,127.3,128.58
GRID_129.95,129.95,131.25
GRID_127.34,127.34,128.62
GRID_132.61,132.61,133.94
GRID_132.61,132.61,133.94
GRID_128.65,128.65,129.94
GRID_131.28,131.28,132.6
GRID_131.28,131.28,132.6
GRID_138.02,138.02,139.4
GRID_135.28,135.28,136.64
GRID_123.4,123.4,124.64
GRID_124.71,124.71,125.96
GRID_126.03,126.03,127.29
GRID_126.07,126.07,127.33
GRID_127.36,127.36,128.64
GRID_126.09,126.09,127.35
GRID_129.97,129.97,131.27
GRID_129.97,129.97,131.27
GRID_133.93,133.93,135.27
GRID_136.64,136.64,138.01
GRID_139.4,139.4,140.79
GRID_140.79,140.79,142.2
GRID_142.2,142.2,143.62
GRID_143.62,143.62,145.06
GRID_145.06,145.06,146.51
GRID_146.51,146.51,147.98
GRID_152.46,152.46,153.98
GRID_171.79,171.79,173.51
GRID_173.51,173.51,175.25
GRID_182.37,182.37,184.19
GRID_193.59,193.59,195.53
GRID_175.25,175.25,177
GRID_177,177,178.77
GRID_178.77,178.77,180.56
GRID_180.56,180.56,182.37
GRID_184.19,184.19,186.03
GRID_186.03,186.03,187.89
GRID_187.89,187.89,189.77
GRID_180.55,180.55,182.35
GRID_189.77,189.77,191.67
GRID_191.67,191.67,193.59
GRID_195.53,195.53,197.49
GRID_191.65,191.65,193.57
GRID_197.49,197.49,199.46
GRID_199.46,199.46,201.45
GRID_201.45,201.45,203.46
GRID_203.46,203.46,205.49
GRID_205.49,205.49,207.54
GRID_207.54,207.54,209.62
GRID_213.84,213.84,215.98
GRID_227,227,229.27
GRID_231.56,231.56,233.88
GRID_260.93,260.93,263.54
GRID_296.97,296.97,299.94
GRID_334.63,334.63,337.98
GRID_315.24,315.24,318.39
GRID_318.39,318.39,321.57
GRID_321.57,321.57,324.79
GRID_324.79,324.79,328.04
GRID_328.04,328.04,331.32
GRID_331.32,331.32,334.63
GRID_331.28,331.28,334.6
GRID_337.98,337.98,341.36
GRID_341.36,341.36,344.77
GRID_344.77,344.77,348.22
GRID_348.22,348.22,351.7
GRID_351.7,351.7,355.22
GRID_355.22,355.22,358.77
GRID_358.77,358.77,362.36
GRID_404.27,404.27,408.31
GRID_412.39,412.39,416.51
GRID_424.89,424.89,429.14
GRID_437.76,437.76,442.14
GRID_488.41,488.41,493.29
GRID_584.18,584.18,590.02
GRID_567,567,572.67
GRID_572.67,572.67,578.4
GRID_578.4,578.4,584.18
GRID_590.02,590.02,595.92
GRID_595.92,595.92,601.88
GRID_601.88,601.88,607.9
GRID_607.9,607.9,613.98
GRID_613.98,613.98,620.12
GRID_620.12,620.12,626.32
GRID_578.34,578.34,584.12
GRID_678.22,678.22,685
